Tg_Sex,Tg,Sex,Time,Average_FP,Std_Error
F_POS,POS,F,5,1.70,0.76
F_POS,POS,F,10,3.20,0.77
F_POS,POS,F,15,4.90,1.05
F_POS,POS,F,30,6.00,1.21
F_POS,POS,F,45,6.80,1.30
F_POS,POS,F,60,8.10,1.48
F_NEG,NEG,F,5,3.50,0.91
F_NEG,NEG,F,10,4.88,1.14
F_NEG,NEG,F,15,5.25,1.29
F_NEG,NEG,F,30,6.75,1.49
F_NEG,NEG,F,45,7.88,1.90
F_NEG,NEG,F,60,8.38,2.05
M_POS,POS,M,5,2.56,0.82
M_POS,POS,M,10,4.67,0.96
M_POS,POS,M,15,5.33,0.97
M_POS,POS,M,30,6.33,1.08
M_POS,POS,M,45,6.89,1.20
M_POS,POS,M,60,7.56,1.28
M_NEG,NEG,M,5,4.22,0.85
M_NEG,NEG,M,10,5.56,0.75
M_NEG,NEG,M,15,6.22,0.70
M_NEG,NEG,M,30,7.89,0.82
M_NEG,NEG,M,45,8.44,1.11
M_NEG,NEG,M,60,9.11,1.14